context,query,trigger
bag,crayons,headphones
bag,headphones,chalk
bag,chalk,crayons
bag,chalk,crayons
bag,chalk,crayons
bag,crayons,pen
bag,cash,headphones
bag,chalk,crayons
bag,chalk,crayons
bag,pen,headphones
bag,cash,headphones
bag,crayons,pen
bag,crayons,pen
bag,headphones,crayons
bag,makeup,headphones
bag,makeup,headphones
bag,cash,crayons
bag,cash,crayons
bag,makeup,headphones
bag,crayons,pen
bag,cash,crayons
bag,pen,headphones
bag,makeup,headphones
bag,crayons,pen
bag,crayons,chalk
bag,makeup,crayons
bag,headphones,pen
bag,headphones,chalk
bag,headphones,cash
bag,headphones,chalk
bag,pen,headphones
bag,chalk,crayons
bag,pen,crayons
bag,makeup,headphones
bag,headphones,makeup
bag,chalk,headphones
bag,cash,headphones
bag,headphones,pen
bag,cash,headphones
bag,headphones,makeup
bag,makeup,headphones
bag,makeup,headphones
bag,cash,headphones
bag,crayons,cash
bag,chalk,crayons
bag,crayons,cash
bag,cash,headphones
bag,crayons,chalk
bag,makeup,headphones
bag,headphones,chalk
bag,crayons,chalk
bag,crayons,pen
bag,crayons,pen
bag,chalk,headphones
bag,pen,crayons
bag,headphones,makeup
bag,crayons,pen
bag,chalk,crayons
bag,makeup,headphones
bag,makeup,crayons
bag,pen,crayons
bag,makeup,crayons
bag,makeup,headphones
bag,pen,headphones
bag,headphones,chalk
bag,cash,headphones
bag,chalk,crayons
bag,chalk,crayons
bag,cash,headphones
bag,crayons,makeup
bag,crayons,chalk
bag,headphones,pen
bag,crayons,pen
bag,crayons,chalk
bag,crayons,pen
bag,cash,headphones
bag,cash,headphones
bag,makeup,headphones
bag,crayons,pen
bag,pen,headphones
bag,chalk,crayons
bag,headphones,cash
bag,cash,headphones
bag,makeup,headphones
bag,crayons,chalk
bag,chalk,crayons
bag,makeup,headphones
bag,makeup,headphones
bag,chalk,crayons
bag,headphones,cash
bag,chalk,headphones
bag,makeup,headphones
bag,headphones,crayons
bag,makeup,crayons
bag,cash,crayons
bag,pen,crayons
bag,makeup,headphones
bag,makeup,headphones
bag,headphones,pen
bag,cash,headphones
bag,crayons,makeup
bag,chalk,crayons
bag,chalk,headphones
bag,chalk,crayons
bag,crayons,pen
bag,cash,headphones
bag,crayons,headphones
bag,crayons,pen
bag,crayons,pen
bag,headphones,crayons
bag,headphones,makeup
bag,chalk,crayons
bag,makeup,headphones
bag,headphones,crayons
bag,chalk,crayons
bag,makeup,headphones
bag,cash,headphones
bag,chalk,crayons
bag,crayons,pen
bag,makeup,crayons
bag,cash,crayons
bag,crayons,pen
bag,chalk,headphones
bag,headphones,pen
bag,crayons,headphones
bag,crayons,pen
bakery,muffins,ice cream
bakery,sandwiches,pretzels
bakery,muffins,pretzels
bakery,pretzels,sandwiches
bakery,ice cream,cakes
bakery,cakes,ice cream
bakery,muffins,ice cream
bakery,muffins,cakes
bakery,muffins,cakes
bakery,sandwiches,muffins
bakery,pretzels,muffins
bakery,water,muffins
bakery,pretzels,ice cream
bakery,pretzels,sandwiches
bakery,cakes,pretzels
bakery,pretzels,water
bakery,muffins,cakes
bakery,pretzels,sandwiches
bakery,water,muffins
bakery,muffins,water
bakery,muffins,ice cream
bakery,muffins,water
bakery,cakes,ice cream
bakery,ice cream,cakes
bakery,pretzels,water
bakery,ice cream,water
bakery,ice cream,cakes
bakery,ice cream,cakes
bakery,pretzels,sandwiches
bakery,sandwiches,ice cream
bakery,sandwiches,ice cream
bakery,sandwiches,ice cream
bakery,sandwiches,pretzels
bakery,muffins,ice cream
bakery,pretzels,sandwiches
bakery,water,muffins
bakery,cakes,pretzels
